size,insertTime,getTime,deleteTime
0,3269,380,372
100,925,159,195
200,159,121,413
300,417,373,266
400,357,216,254
500,214,161,331
600,323,151,167
700,265,173,216
800,372,401,442
900,549,231,257
1000,551,271,483
1100,741,228,449
1200,669,212,399
1300,494,217,399
1400,1074,478,1285
1500,680,285,587
1600,668,274,473
1700,437,473,803
1800,746,461,776
1900,429,326,552
2000,518,446,552
2100,917,558,346
2200,464,306,369
2300,483,402,344
2400,467,338,397
2500,611,481,569
2600,888,559,401
2700,540,360,427
2800,469,511,604
2900,607,446,522
3000,569,378,433
3100,560,447,640
3200,795,618,695
3300,582,420,472
3400,727,455,510
3500,1155,495,564
3600,743,502,534
3700,693,493,581
3800,1152,821,829
3900,719,540,590
4000,751,549,624
4100,1447,619,715
4200,902,610,660
4300,843,576,807
4400,1191,937,825
4500,885,628,677
4600,872,1388,990
4700,1041,704,728
4800,948,824,861
4900,1331,717,766
5000,948,701,855
5100,1992,805,899
5200,1047,733,797
5300,1221,1062,1278
5400,1118,764,828
5500,1089,797,851
5600,1052,888,1287
5700,1241,776,823
5800,1097,795,1219
5900,1550,894,2232
6000,2288,1281,1264
6100,1854,1353,1430
6200,3086,1479,1710
6300,2045,2317,1855
6400,2690,2230,2079
6500,2338,1639,1636
6600,2307,1838,2124
6700,2218,1593,1912
6800,2320,1447,1642
6900,6155,1498,1713
7000,1823,1289,1801
7100,2377,1882,1261
7200,2264,1704,1571
7300,2190,2318,1649
7400,1649,1208,1276
7500,1589,1249,1354
7600,1580,1428,1948
7700,1901,1439,1840
7800,2100,1625,1833
7900,2404,2274,1757
8000,1605,1329,1350
8100,1643,1359,1435
8200,1957,2671,2392
8300,2107,1318,1431
8400,1598,1413,1872
8500,2478,1450,1396
8600,1491,1388,1595
8700,1528,1211,1264
8800,1487,1246,1274
8900,1463,1235,1283
9000,1530,1272,1372
9100,1559,1294,1377
9200,1560,1301,1533
9300,1575,1315,1356
9400,1544,1291,1338
9500,1593,1342,1387
9600,1693,1329,1442
9700,1674,1387,1493
9800,1697,1426,1479
9900,1697,1428,1506
